work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,job_category,adjusted_salary
2023,Senior,Full-time,Principal Data Scientist,85847,Spain,Full-Remote,Spain,LARGE,Management,85847
2023,Intermediate,Contractor,ML Engineer,30000,United States,Full-Remote,United States,SMALL,Machine Learning,30000
2023,Intermediate,Contractor,ML Engineer,25500,United States,Full-Remote,United States,SMALL,Machine Learning,25500
2023,Senior,Full-time,Data Scientist,175000,Canada,Full-Remote,Canada,MEDIUM,Data Science,175000
2023,Senior,Full-time,Data Scientist,120000,Canada,Full-Remote,Canada,MEDIUM,Data Science,120000
2023,Senior,Full-time,Applied Scientist,222200,United States,On-Site,United States,LARGE,Data Science,222200
2023,Senior,Full-time,Applied Scientist,136000,United States,On-Site,United States,LARGE,Data Science,136000
2023,Senior,Full-time,Data Scientist,219000,Canada,On-Site,Canada,MEDIUM,Data Science,219000
2023,Senior,Full-time,Data Scientist,141000,Canada,On-Site,Canada,MEDIUM,Data Science,141000
2023,Senior,Full-time,Data Scientist,147100,United States,On-Site,United States,MEDIUM,Data Science,147100
2023,Senior,Full-time,Data Scientist,90700,United States,On-Site,United States,MEDIUM,Data Science,90700
2023,Senior,Full-time,Data Analyst,130000,United States,Full-Remote,United States,MEDIUM,Data Analyst,130000
2023,Senior,Full-time,Data Analyst,100000,United States,Full-Remote,United States,MEDIUM,Data Analyst,100000
2023,Entry,Full-time,Applied Scientist,213660,United States,On-Site,United States,LARGE,Data Science,213660
2023,Entry,Full-time,Applied Scientist,130760,United States,On-Site,United States,LARGE,Data Science,130760
2023,Senior,Full-time,Data Modeler,147100,United States,On-Site,United States,MEDIUM,Other,147100
2023,Senior,Full-time,Data Modeler,90700,United States,On-Site,United States,MEDIUM,Other,90700
2023,Senior,Full-time,Data Scientist,170000,United States,On-Site,United States,MEDIUM,Data Science,170000
2023,Senior,Full-time,Data Scientist,150000,United States,On-Site,United States,MEDIUM,Data Science,150000
2023,Intermediate,Full-time,Data Analyst,150000,United States,Full-Remote,United States,MEDIUM,Data Analyst,150000
2023,Intermediate,Full-time,Data Analyst,110000,United States,Full-Remote,United States,MEDIUM,Data Analyst,110000
2023,Senior,Full-time,Research Engineer,275000,Germany,On-Site,Germany,MEDIUM,Other,275000
2023,Senior,Full-time,Research Engineer,174000,Germany,On-Site,Germany,MEDIUM,Other,174000
2023,Senior,Full-time,Analytics Engineer,230000,United Kingdom,Full-Remote,United Kingdom,MEDIUM,Data Engineering,230000
2023,Senior,Full-time,Analytics Engineer,143200,United Kingdom,Full-Remote,United Kingdom,MEDIUM,Data Engineering,143200
2023,Senior,Full-time,Business Intelligence Engineer,225000,United States,On-Site,United States,MEDIUM,Data Engineering,225000
2023,Senior,Full-time,Business Intelligence Engineer,156400,United States,On-Site,United States,MEDIUM,Data Engineering,156400
2023,Senior,Full-time,Machine Learning Engineer,200000,United States,On-Site,United States,MEDIUM,Machine Learning,200000
2023,Senior,Full-time,Machine Learning Engineer,130000,United States,On-Site,United States,MEDIUM,Machine Learning,130000
2023,Senior,Full-time,Data Strategist,90000,Canada,On-Site,Canada,MEDIUM,Other,90000
2023,Senior,Full-time,Data Strategist,72000,Canada,On-Site,Canada,MEDIUM,Other,72000
2023,Senior,Full-time,Data Engineer,253200,United States,On-Site,United States,MEDIUM,Data Engineering,253200
2023,Senior,Full-time,Data Engineer,90700,United States,On-Site,United States,MEDIUM,Data Engineering,90700
2023,Senior,Full-time,Computer Vision Engineer,342810,United States,On-Site,United States,MEDIUM,Other,342810
2023,Senior,Full-time,Computer Vision Engineer,184590,United States,On-Site,United States,MEDIUM,Other,184590
2023,Intermediate,Full-time,Data Engineer,162500,United States,On-Site,United States,MEDIUM,Data Engineering,162500
2023,Intermediate,Full-time,Data Engineer,130000,United States,On-Site,United States,MEDIUM,Data Engineering,130000
2023,Intermediate,Full-time,Data Analyst,105380,United States,On-Site,United States,MEDIUM,Data Analyst,105380
2023,Intermediate,Full-time,Data Analyst,64500,United States,On-Site,United States,MEDIUM,Data Analyst,64500
2023,Entry,Full-time,Data Quality Analyst,100000,Nigeria,Full-Remote,Nigeria,LARGE,Data Analyst,100000
2023,Entry,Full-time,Compliance Data Analyst,30000,Nigeria,Full-Remote,Nigeria,LARGE,Data Analyst,30000
2022,Intermediate,Full-time,Machine Learning Engineer,20984,India,Half-Remote,India,LARGE,Machine Learning,22719
2023,Entry,Full-time,Applied Scientist,204620,United States,On-Site,United States,LARGE,Data Science,204620
2023,Entry,Full-time,Applied Scientist,110680,United States,On-Site,United States,LARGE,Data Science,110680
2023,Senior,Full-time,Data Engineer,270703,United States,On-Site,United States,MEDIUM,Data Engineering,270703
2023,Senior,Full-time,Data Engineer,221484,United States,On-Site,United States,MEDIUM,Data Engineering,221484
2023,Senior,Full-time,Data Scientist,212750,United States,Full-Remote,United States,MEDIUM,Data Science,212750
2023,Senior,Full-time,Data Scientist,185000,United States,Full-Remote,United States,MEDIUM,Data Science,185000
2023,Senior,Full-time,Data Scientist,262000,United States,Full-Remote,United States,MEDIUM,Data Science,262000
2023,Senior,Full-time,Data Scientist,245000,United States,Full-Remote,United States,MEDIUM,Data Science,245000
2023,Senior,Full-time,Data Scientist,275300,United States,Full-Remote,United States,MEDIUM,Data Science,275300
2023,Senior,Full-time,Data Scientist,183500,United States,Full-Remote,United States,MEDIUM,Data Science,183500
2023,Senior,Full-time,Data Scientist,218500,United States,Full-Remote,United States,MEDIUM,Data Science,218500
2023,Senior,Full-time,Data Scientist,199098,United States,Full-Remote,United States,MEDIUM,Data Science,199098
2023,Senior,Full-time,Data Engineer,203300,United States,Full-Remote,United States,MEDIUM,Data Engineering,203300
2023,Senior,Full-time,Data Engineer,123600,United States,Full-Remote,United States,MEDIUM,Data Engineering,123600
2023,Senior,Full-time,Research Engineer,189110,United States,On-Site,United States,MEDIUM,Other,189110
2023,Senior,Full-time,Research Engineer,139000,United States,On-Site,United States,MEDIUM,Other,139000
2023,Executive,Full-time,Data Scientist,258750,United States,On-Site,United States,MEDIUM,Data Science,258750
2023,Executive,Full-time,Data Scientist,185000,United States,On-Site,United States,MEDIUM,Data Science,185000
2023,Senior,Full-time,Data Engineer,231500,United States,Full-Remote,United States,MEDIUM,Data Engineering,231500
2023,Senior,Full-time,Data Engineer,166000,United States,Full-Remote,United States,MEDIUM,Data Engineering,166000
2023,Senior,Full-time,Data Scientist,172500,United States,Full-Remote,United States,MEDIUM,Data Science,172500
2023,Senior,Full-time,Data Scientist,110500,United States,Full-Remote,United States,MEDIUM,Data Science,110500
2023,Senior,Full-time,Data Engineer,238000,United States,On-Site,United States,MEDIUM,Data Engineering,238000
2023,Senior,Full-time,Data Engineer,176000,United States,On-Site,United States,MEDIUM,Data Engineering,176000
2023,Senior,Full-time,Data Engineer,237000,United States,Full-Remote,United States,MEDIUM,Data Engineering,237000
2023,Senior,Full-time,Data Engineer,201450,United States,Full-Remote,United States,MEDIUM,Data Engineering,201450
2023,Senior,Full-time,Applied Scientist,309400,United States,On-Site,United States,LARGE,Data Science,309400
2023,Senior,Full-time,Applied Scientist,159100,United States,On-Site,United States,LARGE,Data Science,159100
2023,Senior,Full-time,Data Engineer,115000,United States,On-Site,United States,MEDIUM,Data Engineering,115000
2023,Senior,Full-time,Data Engineer,81500,United States,On-Site,United States,MEDIUM,Data Engineering,81500
2023,Senior,Full-time,Data Scientist,237000,United States,Full-Remote,United States,MEDIUM,Data Science,237000
2023,Senior,Full-time,Data Scientist,201450,United States,Full-Remote,United States,MEDIUM,Data Science,201450
2023,Senior,Full-time,Computer Vision Engineer,280000,United States,On-Site,United States,MEDIUM,Other,280000
2023,Senior,Full-time,Computer Vision Engineer,210000,United States,On-Site,United States,MEDIUM,Other,210000
2023,Senior,Full-time,Data Architect,280100,United States,Full-Remote,United States,MEDIUM,Data Architecture,280100
2023,Senior,Full-time,Data Architect,168100,United States,Full-Remote,United States,MEDIUM,Data Architecture,168100
2023,Senior,Full-time,Data Engineer,193500,United States,Full-Remote,United States,MEDIUM,Data Engineering,193500
2023,Senior,Full-time,Data Engineer,139000,United States,Full-Remote,United States,MEDIUM,Data Engineering,139000
2023,Intermediate,Full-time,Data Scientist,65062,Hong Kong,On-Site,Hong Kong,LARGE,Data Science,65062
2023,Senior,Full-time,Machine Learning Engineer,150000,Portugal,Full-Remote,United States,MEDIUM,Machine Learning,150000
2023,Intermediate,Full-time,Applied Machine Learning Engineer,69751,India,Full-Remote,Germany,SMALL,Machine Learning,69751
2022,Entry,Full-time,AI Developer,300000,India,Half-Remote,India,LARGE,Other,324810
2023,Intermediate,Full-time,Machine Learning Engineer,96578,Netherlands,Full-Remote,Netherlands,LARGE,Machine Learning,96578
2023,Senior,Full-time,Business Intelligence Engineer,185900,United States,On-Site,United States,MEDIUM,Data Engineering,185900
2023,Senior,Full-time,Business Intelligence Engineer,129300,United States,On-Site,United States,MEDIUM,Data Engineering,129300
2023,Senior,Full-time,Data Engineer,225000,United States,Full-Remote,United States,MEDIUM,Data Engineering,225000
2023,Senior,Full-time,Data Engineer,175000,United States,Full-Remote,United States,MEDIUM,Data Engineering,175000
2023,Senior,Full-time,Data Engineer,185000,United States,On-Site,United States,MEDIUM,Data Engineering,185000
2023,Senior,Full-time,Data Engineer,140000,United States,On-Site,United States,MEDIUM,Data Engineering,140000
2023,Senior,Full-time,Data Scientist,48289,Spain,On-Site,Spain,MEDIUM,Data Science,48289
2023,Senior,Full-time,Data Scientist,38631,Spain,On-Site,Spain,MEDIUM,Data Science,38631
2023,Senior,Full-time,Data Scientist,105000,United States,On-Site,United States,MEDIUM,Data Science,105000
2023,Senior,Full-time,Data Scientist,70000,United States,On-Site,United States,MEDIUM,Data Science,70000
2023,Entry,Full-time,Machine Learning Engineer,163196,United States,On-Site,United States,MEDIUM,Machine Learning,163196
2023,Entry,Full-time,Machine Learning Engineer,145885,United States,On-Site,United States,MEDIUM,Machine Learning,145885
2023,Senior,Full-time,Data Engineer,217000,United States,Full-Remote,United States,MEDIUM,Data Engineering,217000
2023,Senior,Full-time,Data Engineer,185000,United States,Full-Remote,United States,MEDIUM,Data Engineering,185000
2023,Senior,Full-time,Data Analyst,202800,United States,On-Site,United States,LARGE,Data Analyst,202800
2023,Senior,Full-time,Data Analyst,104300,United States,On-Site,United States,LARGE,Data Analyst,104300
2023,Senior,Full-time,Data Analyst,145000,United States,On-Site,United States,MEDIUM,Data Analyst,145000
2023,Senior,Full-time,Data Analyst,65000,United States,On-Site,United States,MEDIUM,Data Analyst,65000
2023,Senior,Full-time,Data Engineer,165000,United States,On-Site,United States,MEDIUM,Data Engineering,165000
2023,Senior,Full-time,Data Engineer,132300,United States,On-Site,United States,MEDIUM,Data Engineering,132300
2023,Senior,Full-time,Data Engineer,179170,United States,On-Site,United States,MEDIUM,Data Engineering,179170
2023,Senior,Full-time,Data Engineer,94300,United States,On-Site,United States,MEDIUM,Data Engineering,94300
2023,Senior,Full-time,Analytics Engineer,152500,United States,On-Site,United States,MEDIUM,Data Engineering,152500
